,ground-truth,claude-3-5,claude-haiku-4-5,codestral-2508,deepseek-chat-v3-1,gemini-2.5-pro,gpt-4o,gpt-4o-mini,llama-3-2-3b-instruct,meta-llama,qwen-2-5-7b-instruct,starcoder2-3B-2000mid
Slim,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
Slint,3,3.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
SmPL,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Smali,7,5.0,6.0,0.0,1.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0
Smalltalk,10,10.0,10.0,9.0,10.0,10.0,10.0,9.0,1.0,9.0,9.0,1.0
Smithy,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Snakemake,4,2.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,2.0,0.0,0.0
Soong,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SourcePawn,3,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0
Squirrel,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Stan,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,0.0
Standard ML,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Starlark,11,4.0,8.0,3.0,3.0,9.0,7.0,4.0,0.0,7.0,0.0,0.0
Stata,7,4.0,4.0,3.0,4.0,5.0,3.0,3.0,1.0,2.0,3.0,0.0
StringTemplate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stylus,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SubRip Text,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SugarSS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SuperCollider,5,5.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,1.0
Svelte,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sway,5,1.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
Sweave,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swift,43,40.0,40.0,39.0,41.0,40.0,39.0,36.0,13.0,37.0,37.0,20.0
SystemVerilog,4,0.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0
TI Program,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TL-Verilog,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLA,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOML,7,5.0,7.0,3.0,3.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0
TSPLIB data,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSQL,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSV,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSX,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXL,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Tact,2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Talon,2,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Tcl,7,7.0,7.0,7.0,6.0,7.0,7.0,7.0,1.0,7.0,7.0,0.0
Tcsh,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TeX,7,1.0,3.0,0.0,0.0,5.0,1.0,2.0,1.0,4.0,5.0,1.0
Tea,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terra,3,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,3.0,2.0,0.0
Terraform Template,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texinfo,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,26,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TextGrid,3,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
TextMate Properties,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thrift,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Toit,3,3.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0
Turing,4,4.0,4.0,0.0,4.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0
Turtle,2,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
Type Language,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TypeScript,6,5.0,5.0,4.0,5.0,5.0,4.0,4.0,0.0,4.0,4.0,0.0
TypeSpec,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
Typst,2,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Unity3D Asset,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unix Assembly,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uno,3,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
UnrealScript,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0
UrWeb,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,9,8.0,8.0,2.0,9.0,9.0,8.0,6.0,0.0,5.0,0.0,0.0
VBA,10,10.0,6.0,8.0,3.0,9.0,7.0,3.0,2.0,5.0,1.0,1.0
VBScript,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
VCL,2,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0
VHDL,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Valve Data Format,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Velocity Template Language,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verilog,14,14.0,14.0,10.0,14.0,13.0,14.0,14.0,1.0,6.0,13.0,7.0
Vim Help File,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vim Script,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vim Snippet,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Visual Basic .NET,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Visual Basic 6.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volt,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vue,2,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Vyper,5,4.0,5.0,2.0,5.0,5.0,5.0,2.0,1.0,3.0,1.0,0.0
WDL,4,4.0,4.0,2.0,4.0,4.0,4.0,4.0,0.0,2.0,0.0,0.0
WGSL,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Wavefront Material,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wavefront Object,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Web Ontology Language,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WebAssembly Interface Type,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WebAssembly,6,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,4.0,3.0,0.0
WebIDL,2,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
WebVTT,3,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
Wget Config,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whiley,3,3.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
Wikitext,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win32 Message File,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Windows Registry Entries,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Witcher Script,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wollok,2,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
World of Warcraft Addon Data,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wren,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
X BitMap,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X Font Directory Index,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X PixMap,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X10,18,18.0,18.0,12.0,18.0,18.0,17.0,10.0,1.0,5.0,6.0,0.0
XC,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
XCompose,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
XML Property List,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XML,73,61.0,49.0,48.0,44.0,57.0,45.0,59.0,9.0,47.0,20.0,11.0
XPages,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XProc,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
XQuery,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
XS,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
XSLT,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Xojo,6,1.0,5.0,0.0,1.0,5.0,2.0,0.0,2.0,4.0,0.0,0.0
Xonsh,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Xtend,2,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
YAML,16,14.0,15.0,12.0,14.0,14.0,12.0,11.0,1.0,11.0,2.0,0.0
YANG,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
YARA,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,0.0
YASnippet,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yacc,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yul,2,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAP,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZIL,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zeek,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0
ZenScript,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zephir,2,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Zig,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,0.0
Zimpl,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
cURL Config,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crontab,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
desktop,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
dircolors,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
eC,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
edn,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fish,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0
hoon,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0
iCalendar,2,2.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
jq,2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0
kvlang,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mIRC Script,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mcfunction,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modelio-open-source-5.4.1_amd64.deb,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nanorc,3,3.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0
omnetpp-msg,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
omnetpp-ned,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q,2,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0
reStructuredText,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
robots.txt,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sed,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
templ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vCard,2,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0
wisp,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
xBase,3,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
